,sub_id,Group,hemi,area,linear_fit,slope,y_shift
630,sub-CC01035XX13,2nd,L,dorsal,0.008126620309700128,-1.3753676676285669,96.54125902428711
631,sub-CC00932XX17,2nd,L,dorsal,0.002479459636534065,0.7810426986553844,99.66804545208409
632,sub-CC01177XX15,2nd,L,dorsal,0.0029348367172067347,0.8690179521724436,106.25806761433613
633,sub-CC01008XX10,2nd,L,dorsal,0.03549499478684104,3.4207055300263485,95.24590820365954
634,sub-CC01146XX17,2nd,L,dorsal,0.06516384443391998,4.0129132038105935,68.8963714377516
635,sub-CC01061XX06,2nd,L,dorsal,0.033034139769552606,3.2373381964709123,72.15308589330643
636,sub-CC00939XX24,2nd,L,dorsal,0.029301883812261287,2.8728400529438107,94.80501931177056
637,sub-CC00991XX19,2nd,L,dorsal,0.03749191985634737,3.242305266312105,73.2163304084128
638,sub-CC01019XX13,2nd,L,dorsal,0.003442197631659649,0.8414384985220095,96.50034242148324
639,sub-CC01134XX13,2nd,L,dorsal,0.00368202135179152,-0.8684495859065945,115.02251897921182
640,sub-CC01067XX12,2nd,L,dorsal,0.009598421776905841,1.2923435822941287,131.1713108521288
641,sub-CC00901XX10,2nd,L,dorsal,0.05639323899424098,3.379193014022432,82.90000026021106
642,sub-CC01258XX13,2nd,L,dorsal,0.013736336942457572,1.875245483300161,84.35839393288457
643,sub-CC00861XX12,2nd,L,dorsal,0.02943434672238432,2.7268819564164715,82.87106920258796
644,sub-CC01016XX10,2nd,L,dorsal,0.0008557199518078873,-0.4851859176797917,107.10198028100831
645,sub-CC01023XX09,2nd,L,dorsal,0.004505890049724792,0.6483271436047299,148.34619356481485
646,sub-CC00975XX19,2nd,L,dorsal,0.011702331413440459,1.7506343433368126,79.41490108548805
647,sub-CC00938XX23,2nd,L,dorsal,0.0019105549387237186,0.7296903757365494,109.98555349039327
648,sub-CC01156XX10,2nd,L,dorsal,0.0006135215810996186,0.3474397631024413,104.3248417575965
649,sub-CC00918XX19,2nd,L,dorsal,0.021522670806774502,2.2256123960888643,101.9456624788175
650,sub-CC01204XX08,2nd,L,dorsal,0.003923287903221828,1.1348808551191134,95.49472544526554
651,sub-CC01029XX15,2nd,L,dorsal,0.010055551198120294,1.4046353359109989,72.8826664292805
652,sub-CC01030XX08,2nd,L,dorsal,2.3175436233202618e-05,-0.06635705446726681,143.7770842501188
653,sub-CC01144XX15,2nd,L,dorsal,0.04420149512419336,3.185126304811599,104.9681011986228
654,sub-CC01121XX08,2nd,L,dorsal,0.018200431253077798,1.9220285715702552,94.31371360739554
655,sub-CC01020XX06,2nd,L,dorsal,0.02482756284152543,2.3016282880212025,101.15906520561715
656,sub-CC01032XX10,2nd,L,dorsal,0.07866311917266022,3.9673414059246315,67.38420028953924
657,sub-CC01249XX21,2nd,L,dorsal,0.0459538293962255,2.9128020222180595,89.89101703045012
658,sub-CC01007XX09,2nd,L,dorsal,0.13066432793552107,6.736096638388695,47.91826440087171
659,sub-CC00973XX17,2nd,L,dorsal,0.005597717220354292,1.33976795583977,107.42186493092306
660,sub-CC00877XX20,2nd,L,dorsal,0.016372651673491112,2.0821443591057616,67.9685003738031
661,sub-CC00917XX18,2nd,L,dorsal,0.0008701002189285267,-0.38938020398747264,134.4924481283338
662,sub-CC01028XX14,2nd,L,dorsal,0.07150312216438248,4.217496961633778,94.99371967097964
663,sub-CC01031XX09,2nd,L,dorsal,0.01782424186858811,1.7376690415597107,118.8646850468377
664,sub-CC01162XX08,2nd,L,dorsal,0.012060840359948921,1.611034995645937,94.29364591050343
665,sub-CC00969XX21,2nd,L,dorsal,0.018242469712909104,2.211897656443528,97.64159051468496
666,sub-CC00987XX23,2nd,L,dorsal,0.07227180109597808,4.256875804096569,31.331243491549547
667,sub-CC01195XX17,2nd,L,dorsal,1.4510025695191331e-05,-0.05919747314436669,106.05466409381731
668,sub-CC00967XX19,2nd,L,dorsal,0.02823214936941576,2.431156159305689,105.72649627767528
669,sub-CC01138XX17,2nd,L,dorsal,0.0004076548772778965,-0.2773150819183748,136.70702670410756
670,sub-CC01181XX11,2nd,L,dorsal,0.02068288903237092,1.950833217966558,115.51495932107929
671,sub-CC01219XX15,2nd,L,dorsal,2.7233447151164825e-05,-0.08558135194757731,105.32618586523289
672,sub-CC01157XX11,2nd,L,dorsal,0.01138970529862604,1.8439463852005114,84.3769654400276
673,sub-CC01115XX10,2nd,L,dorsal,0.048365310507992976,3.2468945285962416,97.76085441956965
674,sub-CC01075XX12,2nd,L,dorsal,0.0012077011543940586,-0.5782526092330492,107.44170137123504
675,sub-CC01126XX13,2nd,L,dorsal,0.0013058410934233544,0.489283232632262,114.8302888302322
676,sub-CC00999XX27,2nd,L,dorsal,0.004762105408507189,1.1352341687850995,97.84433760014603
677,sub-CC01155XX09,2nd,L,dorsal,0.0018979247107875352,0.7725279027644208,98.24463366641534
678,sub-CC01165XX11,2nd,L,dorsal,0.020314701795622447,2.1848648522627903,91.32240792193559
679,sub-CC01041XX11,2nd,L,dorsal,0.026968304353993888,2.7831971835176916,73.52808471786999
680,sub-CC01158XX12,2nd,L,dorsal,0.0005144403234866868,-0.32451519709868853,135.12343804884514
681,sub-CC00876XX19,2nd,L,dorsal,0.07277378197370632,4.632414839217795,76.67548229936193
682,sub-CC00922XX15,2nd,L,dorsal,0.014285861200828642,-1.871580565457452,119.03856436080589
683,sub-CC01147XX18,2nd,L,dorsal,0.006928957959763893,1.2251919037722605,134.43681146039845
684,sub-CC01068XX13,2nd,L,dorsal,0.035673648618928744,3.1060251112366,97.87522010350675
685,sub-CC01173XX11,2nd,L,dorsal,0.0002955584710411241,0.26978309283650553,108.56159858296876
686,sub-CC00990XX18,2nd,L,dorsal,0.020987878925277426,1.9666175689155574,104.50987692154753
687,sub-CC01110XX05,2nd,L,dorsal,0.016612308513595186,1.8876674959439719,106.13290124325013
688,sub-CC01070XX07,2nd,L,dorsal,0.04877325348698047,3.7318947174245816,92.424883207413
689,sub-CC01171XX09,2nd,L,dorsal,0.10589840823285901,5.576064495496624,57.78309203552255
690,sub-CC00904XX13,2nd,L,dorsal,0.025347197594498994,2.2290417512811502,71.20911916736381
691,sub-CC00980XX16,2nd,L,dorsal,0.001819428771495435,0.6212598983065643,124.8103882912666
692,sub-CC00923XX16,2nd,L,dorsal,0.004648087700800274,1.0435127745646902,116.34596257553498
693,sub-CC01089XX18,2nd,L,dorsal,0.001174209726435116,-0.5213813864949748,123.80755884901558
694,sub-CC01213XX09,2nd,L,dorsal,1.7928675957068485e-05,-0.06678862860347136,123.46820936160826
695,sub-CC01250XX05,2nd,L,dorsal,0.0004182210251654217,0.31728093036802296,111.71151807387517
696,sub-CC01076XX13,2nd,L,dorsal,0.01552525599155763,-2.092042756993415,129.46288786118228
697,sub-CC01125XX12,2nd,L,dorsal,0.006255061801851647,-1.20265088303746,134.26862940814064
698,sub-CC01240XX12,2nd,L,dorsal,0.04208236292908507,3.429227916019017,78.56817543498485
699,sub-CC01226XX14,2nd,L,dorsal,0.0003079876390008618,-0.27165999120636286,109.44902436412829
700,sub-CC01179XX17,2nd,L,dorsal,0.04281534378865981,3.3518676514032935,69.7276298360877
701,sub-CC00880XX15,2nd,L,dorsal,0.048991249051779096,3.6766162161218228,89.26240953914947
702,sub-CC01086XX15,2nd,L,dorsal,0.010569641633564997,1.6149084070491644,110.8151230803627
703,sub-CC01048XX18,2nd,L,dorsal,0.07739704006842951,3.879948805280858,118.24942529565386
704,sub-CC01167XX13,2nd,L,dorsal,0.034275680118177165,2.9842731905197994,111.90866129482337
705,sub-CC01114XX09,2nd,L,dorsal,0.004583756753115509,1.0865588364693892,102.46377912305584
706,sub-CC01124XX11,2nd,L,dorsal,0.009716988817735417,-1.6042298197225608,138.45043095979526
707,sub-CC01120XX07,2nd,L,dorsal,0.013600066956576673,1.773324005701873,119.75300551926469
708,sub-CC01140XX11,2nd,L,dorsal,0.027334986834217534,2.1148776748032483,135.5284864981085
709,sub-CC00873XX16,2nd,L,dorsal,0.01610583989615899,1.5743704975325874,136.98838404677394
710,sub-CC01127XX14,2nd,L,dorsal,0.06211232569946468,3.5765552825786626,79.43789853035359
